"category","count"
"Large accelerated filer","2365"
"Non-accelerated filer<br>Smaller reporting company","1426"
"<br>Emerging growth company","900"
"Accelerated filer","573"
"Non-accelerated filer<br>Emerging growth company","391"
"Non-accelerated filer<br>Smaller reporting company<br>Emerging growth company","342"
"Non-accelerated filer","293"
"Accelerated filer<br>Smaller reporting company","209"
"Accelerated filer<br>Emerging growth company","51"
"Smaller reporting company","23"
"Accelerated filer<br>Smaller reporting company<br>Emerging growth company","8"
"Large Accelerated","3"
"Large accelerated filer<br>Smaller reporting company","2"
"Large Accelerated<br>Well Known Seasoned Issuer","1"
