"category","count"
"Smaller reporting company","1683"
"Non-accelerated filer<br>Smaller reporting company","1163"
"<br>Emerging growth company","993"
"Large accelerated filer","936"
"Non-accelerated filer","716"
"Accelerated filer","662"
"Large Accelerated","511"
"Non-accelerated filer<br>Smaller reporting company<br>Emerging growth company","510"
"Accelerated filer<br>Smaller reporting company","120"
"Non-accelerated filer<br>Emerging growth company","119"
"Large Accelerated<br>Well Known Seasoned Issuer","108"
"Accelerated filer<br>Emerging growth company","47"
"Accelerated filer<br>Smaller reporting company<br>Emerging growth company","23"
"Smaller reporting accelerated filer","5"
"Smaller reporting company<br>Smaller reporting company","4"
"Smaller Reporting Accelerated","1"
"Large accelerated filer<br>Smaller reporting company","1"
"Smaller reporting company<br>Smaller reporting company<br>Emerging growth company","1"
